sem;ano;n_hosp
1;2023;377
1;2024;168
1;2025;185
1;2026;145
2;2023;242
2;2024;144
2;2025;151
2;2026;129
3;2023;219
3;2024;149
3;2025;159
3;2026;130
4;2023;143
4;2024;150
4;2025;120
4;2026;123
5;2023;149
5;2024;137
5;2025;121
5;2026;138
6;2023;121
6;2024;147
6;2025;107
6;2026;117
7;2023;112
7;2024;184
7;2025;108
7;2026;118
8;2023;123
8;2024;215
8;2025;135
8;2026;177
9;2023;197
9;2024;323
9;2025;147
9;2026;216
10;2023;232
10;2024;316
10;2025;181
10;2026;241
11;2023;250
11;2024;367
11;2025;202
11;2026;251
12;2023;286
12;2024;339
12;2025;201
12;2026;194
13;2023;353
13;2024;304
13;2025;236
13;2026;245
14;2023;378
14;2024;384
14;2025;202
14;2026;229
15;2023;384
15;2024;400
15;2025;242
15;2026;289
16;2023;460
16;2024;443
16;2025;318
16;2026;320
17;2023;453
17;2024;458
17;2025;356
17;2026;370
18;2023;493
18;2024;357
18;2025;452
18;2026;388
19;2023;461
19;2024;337
19;2025;612
19;2026;571
20;2023;545
20;2024;352
20;2025;773
20;2026;624
21;2023;477
21;2024;373
21;2025;892
21;2026;539
22;2023;382
22;2024;354
22;2025;934
22;2026;468
23;2023;435
23;2024;515
23;2025;1.052
23;2026;136
24;2023;350
24;2024;434
24;2025;1.021
25;2023;385
25;2024;399
25;2025;821
26;2023;355
26;2024;387
26;2025;768
27;2023;383
27;2024;447
27;2025;756
28;2023;380
28;2024;387
28;2025;743
29;2023;319
29;2024;386
29;2025;656
30;2023;283
30;2024;433
30;2025;636
31;2023;311
31;2024;344
31;2025;552
32;2023;270
32;2024;336
32;2025;401
33;2023;287
33;2024;338
33;2025;398
34;2023;229
34;2024;378
34;2025;445
35;2023;225
35;2024;366
35;2025;379
36;2023;224
36;2024;435
36;2025;384
37;2023;207
37;2024;374
37;2025;401
38;2023;239
38;2024;380
38;2025;425
39;2023;207
39;2024;304
39;2025;383
40;2023;237
40;2024;321
40;2025;362
41;2023;274
41;2024;328
41;2025;384
42;2023;312
42;2024;319
42;2025;349
43;2023;335
43;2024;267
43;2025;327
44;2023;284
44;2024;284
44;2025;310
45;2023;273
45;2024;271
45;2025;249
46;2023;225
46;2024;279
46;2025;284
47;2023;204
47;2024;237
47;2025;267
48;2023;223
48;2024;216
48;2025;237
49;2023;198
49;2024;199
49;2025;208
50;2023;216
50;2024;244
50;2025;170
51;2023;185
51;2024;210
51;2025;165
52;2023;170
52;2024;206
52;2025;148
53;2025;138
